iter	Passed	Remaining
0	102	85816
1	232	97069
2	361	100609
3	510	106432
4	667	111158
5	805	111745
6	951	112905
7	1090	113102
8	1230	113370
9	1384	114630
10	1527	114849
11	1669	114951
12	1808	114777
13	1952	114898
14	2094	114942
15	2241	115179
16	2377	114796
17	2523	114958
18	2666	114954
19	2808	114855
20	2950	114797
21	3095	114799
22	3232	114546
23	3369	114280
24	3506	114043
25	3650	113996
26	3784	113672
27	3928	113645
28	4068	113509
29	4226	113840
30	4366	113658
31	4522	113921
32	4658	113644
33	4805	113627
34	4954	113681
35	5104	113713
36	5258	113845
37	5406	113820
38	5546	113629
39	5687	113473
40	5830	113343
41	5970	113149
42	6110	112966
43	6250	112802
44	6404	112867
45	6546	112721
46	6695	112676
47	6840	112576
48	6986	112493
49	7126	112307
50	7267	112141
51	7409	111991
52	7551	111844
53	7702	111831
54	7858	111879
55	7998	111698
56	8119	111247
57	8234	110743
58	8353	110289
59	8480	109965
60	8622	109832
61	8757	109610
62	8900	109484
63	9044	109385
64	9183	109211
65	9336	109203
66	9435	108583
67	9577	108452
68	9716	108295
69	9867	108259
70	10015	108193
71	10157	108064
72	10306	108010
73	10440	107787
74	10585	107686
75	10728	107570
76	10872	107455
77	11017	107350
78	11171	107334
79	11326	107317
80	11482	107314
81	11630	107230
82	11774	107106
83	11909	106902
84	12059	106831
85	12201	106692
86	12349	106603
87	12495	106491
88	12635	106340
89	12791	106312
90	12930	106144
91	13080	106069
92	13231	105992
93	13373	105848
94	13518	105728
95	13664	105616
96	13809	105490
97	13962	105427
98	14112	105343
99	14268	105299
100	14424	105256
101	14566	105106
102	14708	104956
103	14857	104856
104	14993	104669
105	15143	104577
106	15288	104444
107	15434	104324
108	15590	104269
109	15733	104128
110	15871	103948
111	16018	103836
112	16168	103734
113	16316	103624
114	16457	103468
115	16603	103342
116	16741	103169
117	16886	103035
118	17031	102902
119	17185	102829
120	17331	102702
121	17483	102610
122	17617	102411
123	17765	102297
124	17919	102214
125	18061	102063
126	18211	101957
127	18371	101906
128	18518	101777
129	18662	101638
130	18817	101558
131	18964	101430
132	19106	101278
133	19245	101109
134	19386	100954
135	19540	100863
136	19682	100709
137	19819	100531
138	19957	100363
139	20100	100216
140	20263	100165
141	20404	100012
142	20556	99909
143	20714	99832
144	20872	99754
145	20967	99379
146	21109	99227
147	21245	99049
148	21388	98903
149	21543	98814
150	21694	98702
151	21858	98650
152	22015	98564
153	22165	98450
154	22311	98314
155	22453	98162
156	22595	98009
157	22736	97855
158	22893	97765
159	23062	97725
160	23214	97616
161	23357	97467
162	23514	97374
163	23634	97131
164	23786	97019
165	23958	96987
166	24119	96910
167	24282	96839
168	24451	96791
169	24609	96699
170	24769	96616
171	24911	96458
172	25058	96324
173	25210	96204
174	25359	96077
175	25504	95932
176	25645	95772
177	25794	95641
178	25938	95494
179	26080	95338
180	26234	95225
181	26376	95070
182	26518	94914
183	26675	94813
184	26817	94657
185	26973	94553
186	27125	94430
187	27265	94269
188	27408	94117
189	27553	93972
190	27699	93828
191	27852	93710
192	27997	93566
193	28145	93430
194	28299	93315
195	28449	93187
196	28597	93050
197	28751	92932
198	28909	92831
199	29063	92712
200	29217	92594
201	29360	92443
202	29506	92299
203	29655	92163
204	29808	92042
205	29951	91889
206	30090	91725
207	30222	91540
208	30385	91447
209	30533	91308
210	30674	91151
211	30822	91014
212	30962	90853
213	31107	90706
214	31250	90553
215	31393	90402
216	31544	90271
217	31680	90101
218	31820	89941
219	31961	89783
220	32116	89665
221	32262	89519
222	32403	89364
223	32552	89228
224	32696	89079
225	32847	88950
226	32993	88805
227	33135	88652
228	33281	88508
229	33424	88357
230	33569	88211
231	33716	88070
232	33872	87952
233	34018	87807
234	34157	87646
235	34295	87483
236	34444	87345
237	34607	87245
238	34758	87115
239	34911	86988
240	35061	86854
241	35217	86733
242	35366	86597
243	35515	86459
244	35678	86357
245	35828	86221
246	35979	86088
247	36133	85962
248	36288	85839
249	36441	85709
250	36590	85571
251	36748	85455
252	36897	85317
253	37037	85157
254	37185	85016
255	37341	84893
256	37486	84745
257	37626	84586
