actual_label,ensemble_probability,prediction_variance,probability_only_decision,uncertainty_aware_decision,probability_only_cost,uncertainty_aware_cost,cost_difference
0,0.1425946286810119,0.0001521871009201,auto_process,auto_process,0.0,0.0,0.0
0,0.1187068088391538,0.0004387250459304,auto_process,auto_process,0.0,0.0,0.0
0,0.262004653470051,0.0002743040701009,manual_review,manual_review,1.0,1.0,0.0
1,0.2460133872687523,0.0005911384137452,manual_review,manual_review,1.0,1.0,0.0
0,0.2416326256547667,0.0002744430574749,manual_review,manual_review,1.0,1.0,0.0
0,0.1402999354771168,8.54518763841502e-05,auto_process,auto_process,0.0,0.0,0.0
0,0.2069520974659405,0.0003496516779027,manual_review,manual_review,1.0,1.0,0.0
0,0.1350093268421394,0.0008630916147996,auto_process,auto_process,0.0,0.0,0.0
0,0.2882443377318548,0.0002033249457331,manual_review,manual_review,1.0,1.0,0.0
1,0.1622150830570544,0.0005408656175852,auto_process,auto_process,5.0,5.0,0.0
0,0.2681903282702571,0.0018866185585967,manual_review,manual_review,1.0,1.0,0.0
0,0.350465560397001,0.0010066366692472,manual_review,manual_review,1.0,1.0,0.0
1,0.273023680216442,0.0012056106982068,manual_review,manual_review,1.0,1.0,0.0
0,0.1690145804123775,0.0005415280880962,auto_process,auto_process,0.0,0.0,0.0
0,0.3132380858353622,0.0008785942478491,manual_review,manual_review,1.0,1.0,0.0
0,0.1744614190432836,0.0002813828791401,auto_process,auto_process,0.0,0.0,0.0
0,0.2073085444034178,0.0005663301477563,manual_review,manual_review,1.0,1.0,0.0
1,0.2905563886789757,0.0009136328368316,manual_review,manual_review,1.0,1.0,0.0
0,0.1681592287739708,0.0009184954779298,auto_process,auto_process,0.0,0.0,0.0
0,0.131840711009477,0.0002120156644181,auto_process,auto_process,0.0,0.0,0.0
0,0.1052385881016917,0.0009265428645614,auto_process,auto_process,0.0,0.0,0.0
0,0.329665026888633,0.0011915836089933,manual_review,manual_review,1.0,1.0,0.0
0,0.2900103479896455,0.0007454025217371,manual_review,manual_review,1.0,1.0,0.0
0,0.2502405044111326,0.0005123695500044,manual_review,manual_review,1.0,1.0,0.0
0,0.1255309558428785,0.0002253632819267,auto_process,auto_process,0.0,0.0,0.0
0,0.2774532767217674,0.0005272706689142,manual_review,manual_review,1.0,1.0,0.0
1,0.3628713348408618,0.0027956952232451,manual_review,manual_review,1.0,1.0,0.0
0,0.3108982265359519,0.0010336530050809,manual_review,manual_review,1.0,1.0,0.0
0,0.1526135261737103,0.0005196602012975,auto_process,auto_process,0.0,0.0,0.0
0,0.157845331118438,0.0004239374862296,auto_process,auto_process,0.0,0.0,0.0
0,0.1376550946588166,2.960388208810072e-05,auto_process,auto_process,0.0,0.0,0.0
0,0.2994756131160748,0.000484206924164,manual_review,manual_review,1.0,1.0,0.0
0,0.0782825961757902,0.0002588264148346,auto_process,auto_process,0.0,0.0,0.0
0,0.1981905997814023,0.0005806388360856,auto_process,auto_process,0.0,0.0,0.0
1,0.3848030373813828,0.0015889352055942,manual_review,manual_review,1.0,1.0,0.0
0,0.1179261592011815,0.0001865199287382,auto_process,auto_process,0.0,0.0,0.0
0,0.1998274942839338,0.0001782642840016,auto_process,auto_process,0.0,0.0,0.0
0,0.1993619975556039,0.0008404584160155,auto_process,auto_process,0.0,0.0,0.0
0,0.1764778997357967,0.0007566573320545,auto_process,auto_process,0.0,0.0,0.0
0,0.1089165919737637,0.0002612737634834,auto_process,auto_process,0.0,0.0,0.0
0,0.1511268190171733,6.469548006456552e-05,auto_process,auto_process,0.0,0.0,0.0
0,0.3031439734802117,0.0002902450264001,manual_review,manual_review,1.0,1.0,0.0
0,0.189268758230235,0.0006165649086535,auto_process,auto_process,0.0,0.0,0.0
1,0.2378871543412684,0.00056030874673,manual_review,manual_review,1.0,1.0,0.0
1,0.3953468390254866,0.0021061129124617,manual_review,manual_review,1.0,1.0,0.0
1,0.2804982041187827,0.0007787566337606,manual_review,manual_review,1.0,1.0,0.0
0,0.2395904027321659,0.0004057492542988,manual_review,manual_review,1.0,1.0,0.0
0,0.296719184476848,0.0009030107882397,manual_review,manual_review,1.0,1.0,0.0
0,0.2021509737282722,0.0002812079931626,manual_review,manual_review,1.0,1.0,0.0
0,0.2508798188991429,0.0005834780455226,manual_review,manual_review,1.0,1.0,0.0
1,0.2013048379044648,0.0001392393424173,manual_review,manual_review,1.0,1.0,0.0
0,0.1595166973881061,0.0003377995601781,auto_process,auto_process,0.0,0.0,0.0
