feature,mean_abs_shap
LTV,0.23011434
PERFORM_CNS_SCORE,0.14908656
CURRENT_PINCODE_ID,0.10539291
age_at_disbursal,0.08574387
STATE_ID,0.079136945
EMPLOYMENT_TYPE_Self employed,0.074609175
MANUFACTURER_ID,0.068146944
DISBURSED_AMOUNT,0.06398114
sanction_minus_disbursal,0.061924245
disbursal_gap_ratio,0.055112883
BRANCH_ID,0.049943425
total_bureau_enquiries,0.048584916
SUPPLIER_ID,0.046430632
total_overdue_accounts,0.0412183
EMPLOYEE_CODE_ID,0.039345633
loan_to_asset_ratio,0.039262272
closed_accounts,0.037547
ASSET_COST,0.026026962
EMPLOYMENT_TYPE_Salaried,0.022474406
bureau_score_numeric,0.01582207
VOTERID_FLAG,0.015314466
active_to_total_bureau_ratio,0.013740646
AADHAR_FLAG,0.009626248
PAN_FLAG,0.009413626
bureau_score_band_High,0.0062434063
bureau_score_band_Medium,0.0061356057
bureau_score_band_Low,0.0017999954
ltv_band_Low,0.0009418464
DRIVING_FLAG,0.00087807106
ltv_band_Medium,0.00067442155
PASSPORT_FLAG,0.00061386323
ltv_band_Very Low,0.00023553542
bureau_score_band_No Bureau History,3.4503784e-05
ltv_band_High,1.70435e-05
MOBILENO_AVL_FLAG,0.0
bureau_score_missing,0.0
ltv_band_Very High,0.0
